person income,loan amnt,loan int rate,person emp length,cb person cred hist length,person age
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.023446736415127,0.007221562662313552,0.0,0.02344673641512701,0.27693106774504717,0.03880623778783608
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.0023274220276520326,0.002327422027652033,0.0,0.003491133041478023,0.1814350374712473,0.18725359254037743
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.02277522198313171,0.016956666914001585,0.0,0.021312235660755408,0.24839726942197835,0.10303541836709457
0.00814597709678212,0.0023274220276520152,0.0,0.014762187430437073,0.20550691301229257,0.13910984145828703
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.006217382701392489,0.0,0.0,0.00621738270139249,0.19114355321411794,0.166274022408548
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.03713301674457714,0.01260233484207662,0.004978234523014479,0.0032240112784744923,0.08675459424698871,0.23160817194726832
0.020609804358042116,0.0027553115183893513,0.0,0.002084415423808439,0.21797074027355254,0.12643206945165836
0.014124063218817201,0.002486953080556964,0.0,0.008704335781949504,0.21148499913432772,0.13305198980979938
0.0023274220276520326,0.002327422027652033,0.0,0.003491133041478023,0.1814350374712473,0.18725359254037743
0.025933689495683997,0.003491133041478023,0.0,0.025933689495684004,0.27320063812421175,0.041293190868393025
0.0023274220276520326,0.002327422027652033,0.0,0.003491133041478023,0.1814350374712473,0.18725359254037743
0.0,0.0,0.0,0.0,0.3544928396527419,0.015359501372708861
0.03034923697163068,0.002486953080556964,0.0,0.02492950953476292,0.09059385125275156,0.22149279018574866
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.025236823229699962,0.010844401573050291,0.0013776557591946847,0.019817095792832258,0.2685179688852614,0.04681370730380157
0.0011637110138260185,0.0011637110138260185,0.0011637110138260076,0.0011637110138260406,0.18376245949889938,0.18608988152655148
0.015501718978011907,0.0038646088397516773,0.002755311518389425,0.01008199154114421,0.21286265489352235,0.13029667829141006
0.034561969775667216,0.012142291805792585,0.008009324528208503,0.00019292127328041087,0.08978568425218274,0.22554599193688016
0.0,0.0,0.0,0.0,0.3544928396527419,0.015359501372708861
0.05117051272538396,0.014335534614528444,0.0013776557591946847,0.04575078528851624,0.18722576735673124,0.07274739679948557
0.009309688110608179,0.0011637110138260054,0.0011637110138260631,0.013598476416611069,0.20667062402611852,0.13794613044446097
0.03662783507704485,0.00668175409957703,0.0018673789913679628,0.037824317973831977,0.11304197274368677,0.1738090821399422
0.006217382701392489,0.0,0.0,0.00621738270139249,0.19114355321411794,0.166274022408548
0.018334322673196287,0.015579011154806924,0.0013776557591947403,0.01833432267319629,0.28528851623754065,0.033693824045905374
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.044698375009275024,0.0012434765402784542,0.010580371497118515,0.013678241943063538,0.09116643169844921,0.20848544433726604
0.02958682693972446,0.011732334100071693,0.0023571022235412964,0.021411787984467325,0.10890344042937349,0.19586084934827253
0.03034923697163068,0.002486953080556964,0.0,0.02492950953476292,0.09059385125275156,0.22149279018574866
0.045272192129801325,0.001029531794909777,0.007519601296035202,0.026929831070218388,0.08653632113971954,0.2176040661868369
0.006217382701392489,0.0,0.0,0.00621738270139249,0.19114355321411794,0.166274022408548
0.02523682322969997,0.010844401573050307,0.0013776557591946847,0.019817095792832272,0.09895129974524498,0.21638037644381797
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.02731381860453611,0.0011637110138258966,0.004898468996562076,0.0074367440825109455,0.22700217654769858,0.116910909945339
0.0,0.0,0.0,0.0,0.3544928396527419,0.015359501372708861
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.02523682322969997,0.010844401573050307,0.0013776557591946847,0.019817095792832272,0.09895129974524498,0.21638037644381797
0.006217382701392489,0.0,0.0,0.00621738270139249,0.19114355321411794,0.166274022408548
0.02523682322969997,0.010844401573050307,0.0013776557591946847,0.019817095792832272,0.09895129974524498,0.21638037644381797
0.0365666196730231,0.002486953080556964,0.0,0.0311468922361554,0.0968112339541441,0.2028406420815712
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.04091662338304764,0.004354332071925002,0.0018673789913679628,0.02102532710049222,0.060010882738492755,0.28372845094110966
0.006217382701392489,0.0,0.0,0.00621738270139249,0.19114355321411794,0.166274022408548
0.04859699240681658,0.012040266132423144,0.004194801019020089,0.010726917464321901,0.08199339615641464,0.2206895698844946
0.006217382701392489,0.0,0.0,0.00621738270139249,0.19114355321411794,0.166274022408548
0.029235611288367817,0.01717061165937027,0.011488709158813781,0.023387994360762738,0.2584069154856423,0.05313991739012142
0.0316681506764611,0.00925280106848706,0.0011637110138260631,0.028575845267245457,0.10124965991442209,0.20026959511266115
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.010872226756696562,0.00465484405530409,0.0,0.000764883381563608,0.18997984220029185,0.1651103113947219
0.0023274220276520326,0.002327422027652033,0.0,0.003491133041478023,0.1814350374712473,0.18725359254037743
0.0,0.0,0.0,0.0,0.3544928396527419,0.015359501372708861
0.03526563775320913,0.014469713833444631,0.006845613514382556,0.005091390269842511,0.08488721525562072,0.23347555093863626
0.06257945635774537,0.015633424847270667,0.011744082510944557,0.012528134352353448,0.12696322129059387,0.16546029037124976
0.02144517820484279,0.012468155623160417,0.004488511290841213,0.021445178204842798,0.2821776607058941,0.03680467957755187
0.012035937770522503,0.0,0.0,0.00039882763226223306,0.19696210828324814,0.16045546733941787
0.03488103188147707,0.02177537038411121,0.002755311518389314,0.014921718483341975,0.08823736736662462,0.21279216442828525
0.010872226756696562,0.00465484405530409,0.0,0.000764883381563608,0.18997984220029185,0.1651103113947219
0.03307548663154508,0.004814375108208979,0.0,0.03347431426380743,0.09332010091266603,0.20516806410922328
0.020609804358042088,0.0027553115183893855,0.004132967277584054,0.006217382701392487,0.21797074027355248,0.12643206945165836
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.0023274220276520326,0.002327422027652033,0.0,0.003491133041478023,0.1814350374712473,0.18725359254037743
0.04399903539363354,0.010872226756696635,0.01236798496203413,0.04207044099824391,0.19147560040562936,0.06906705250921322
0.030877915460908748,0.009842694961786682,0.004010536469540804,0.015536964210630477,0.061791694491850256,0.2788664638519948
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.021199079913927447,0.0012434765402785214,0.0012434765402786208,0.02368603299448442,0.20861220350720994,0.16124013751824098
0.020609804358042116,0.0027553115183893513,0.0,0.002084415423808439,0.21797074027355254,0.12643206945165836
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.028021814943978565,0.0036506640943830184,0.001163711013825952,0.026093220548588918,0.08826642922509956,0.22265650119957475
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.0023274220276520326,0.002327422027652033,0.0,0.003491133041478023,0.1814350374712473,0.18725359254037743
0.023123345947416593,0.01730479087828641,0.00792955900175607,0.008704335781949546,0.09270485518537755,0.22008545423066458
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.02104202221067993,0.008763077836313735,0.0062761247557566735,0.019113427815290223,0.09898097994113424,0.21567670846627598
0.006217382701392489,0.0,0.0,0.00621738270139249,0.19114355321411794,0.166274022408548
0.039512379115035516,0.007062031609408583,0.0012434765402785097,0.011191288862506496,0.06730664589052954,0.24602347208824915
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.03243303405802478,0.005978086122035098,0.006765847987930067,0.037120649996289966,0.11444930869877076,0.17310541416240013
0.006217382701392489,0.0,0.0,0.00621738270139249,0.19114355321411794,0.166274022408548
0.022909401202047912,0.020169548119017625,0.0030310900051939704,0.029324033538621355,0.3027262496599145,0.0906791818159333
0.028021814943978565,0.0036506640943830184,0.001163711013825952,0.026093220548588918,0.08826642922509956,0.22265650119957475
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.013014765897454941,0.0013776557591946847,0.0013776557591947194,0.013812421161979655,0.2103757018129653,0.1354047636714403
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.018334322673196287,0.015579011154806924,0.0013776557591947403,0.01833432267319629,0.28528851623754065,0.033693824045905374
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.04278771239890182,0.024262323464668195,0.002755311518389425,0.017408671563899022,0.1085788132868343,0.1795701318295368
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.002327422027651904,0.022203259874848603,0.0024869530805569904,0.021804432242586186,0.29402067720313646,0.11999888699265415
0.01785449283965268,0.0,0.0,0.006217382701392438,0.2152154287551632,0.13056503672924247
0.0,0.0,0.0,0.0,0.3544928396527419,0.015359501372708861
0.017958373525265293,0.03293574237589974,0.008621478568425323,0.03963419158566444,0.17691560930968814,0.21281813459968857
0.011637110138260187,0.0,0.0,0.04408745764388715,0.31040538200885465,0.0918973065222231
0.005978086122035094,0.008385273676139613,0.0011637110138260631,0.018412851524820036,0.19479421730850094,0.1602161707600604
0.0,0.0,0.0,0.0,0.3544928396527419,0.015359501372708861
0.0,0.0,0.0,0.0,0.3544928396527419,0.015359501372708861
0.025614627389874054,0.003570898567930509,0.0012434765402785652,0.02974388464297197,0.08585924167099505,0.22630716529395772
0.007761371225050043,0.010491949246865013,0.006062180010388044,0.0038757389132101916,0.1748330488981228,0.1955634290519651
0.0,0.0,0.0,0.0,0.3544928396527419,0.015359501372708861
0.00016200440256225468,0.02804283841606688,0.0013776557591947119,0.00939069031188935,0.11273960574806469,0.2957619153619747
0.009336894956840062,0.01622517375281345,0.006888278795973479,0.0,0.3382676658999284,0.06403502263114935
0.0,0.0,0.0,0.0,0.3544928396527419,0.015359501372708861
0.0017035195765625066,0.021659122950211492,0.0054382775592985355,0.018693576710939644,0.32352402859192214,0.09041577007741582
0.0,0.012434765402785042,0.0,0.012434765402784894,0.027794266775494035,0.34205807424995693
0.0,0.006217382701392549,0.0,0.006217382701392485,0.1911435532141179,0.17870878781133295
0.0058185550691301,0.012035937770522698,0.0,0.01865214810417746,0.1969621082832481,0.16045546733941782
0.009735104251688118,0.009735104251688054,0.0,0.009735104251688118,0.34475773540105376,0.05429991837946132
0.0023274220276520326,0.002327422027652033,0.0,0.003491133041478023,0.1814350374712473,0.18725359254037743
0.0012434765402786208,0.004973906161114066,0.0012434765402785308,0.004973906161113962,0.3495189334916279,0.020333407533823046
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.023204966486112154,0.03355531646508872,0.0013776557591947403,0.039989735598921654,0.1679385867280057,0.220061957408919
0.0,0.0,0.0,0.0,0.3544928396527419,0.015359501372708861
0.024742771635626114,0.0,0.006888278795973424,0.00621738270139249,0.22210370755113662,0.123676757933269
0.0,0.0,0.0,0.0,0.3544928396527419,0.015359501372708861
0.017200291855259602,0.035054784694912355,0.004132967277584054,0.014921718483341992,0.11675014221760527,0.29456852415225954
0.005112413741930687,0.014085107961712523,0.0013776557591947958,0.026757314931611886,0.3153007593183449,0.10188407410155573
0.0,0.0,0.0,0.0,0.3544928396527419,0.015359501372708861
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.029668447478420023,0.035487002547550134,0.007929559001755904,0.012434765402784967,0.12632571541638846,0.2883177512304915
0.029051346738888473,0.023232791669758356,0.006062180010388052,0.05154275184882885,0.19904776038188524,0.16548378719299547
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.0,0.0,0.0,0.0,0.3544928396527419,0.015359501372708861
0.0018673789913680183,0.011602483243056141,0.006000346268951999,0.011602483243056143,0.34289035640968574,0.05803467636219731
0.0024071875541044753,0.0061376171749400535,0.002407187554104462,0.006137617174939971,0.3483552224778018,0.021497118547649047
0.0034911330414780345,0.014762187430437019,0.0023274220276520707,0.012434765402784983,0.18259874848507332,0.18841730355420352
0.009735104251688059,0.022169869654473064,0.0,0.008937448987163366,0.16355395612277704,0.2471408077959982
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.009735104251688118,0.009735104251688054,0.0,0.009735104251688118,0.34475773540105376,0.05429991837946132
0.05755113650416758,0.005898320595582596,0.010764636046597897,0.007133758749474382,0.1071170636392867,0.18138742549034162
0.035643441913383284,0.016662956642180482,0.0013776557591947958,0.0035919220400187756,0.2464742400633179,0.06885743612574508
0.007357596893472873,0.025853923969231543,0.01652135737429204,0.015906111647003583,0.3263114936558583,0.1091798372535925
0.018092552744181416,0.03012849051470406,0.0027553115183893695,0.017693725111919068,0.3243643491380377,0.11415807177660703
0.04062167643639785,0.020905369642106292,0.005082733546041496,0.008470604239321288,0.2971803813905173,0.1477523434988004
0.0018673789913680738,0.008084761692760529,0.003734757982736018,0.004350003710024477,0.194878311196854,0.17684140881996488
0.009628750216418099,0.00862457025549702,0.0011637110138261186,0.0014827731196359252,0.18019156093096883,0.18833753802775105
0.0,0.0,0.0,0.0,0.3544928396527419,0.015359501372708861
0.0,0.0,0.0,0.0,0.3544928396527419,0.015359501372708861
0.0,0.0,0.0,0.0,0.18492617051272547,0.1849261705127253
0.004973906161113972,0.007460859241670967,0.0,0.004973906161113928,0.18368269397244696,0.18368269397244688
0.0,0.0,0.0,0.0,0.3544928396527419,0.015359501372708861
0.0019514728797210834,0.030854418639163037,0.005296678291410041,0.03394672404837875,0.3120013108753186,0.12990032400880508
0.010224827483861373,0.016442210185253908,0.004622690509757362,0.0015946921916351053,0.1809187257302565,0.21862865128243184
0.01720029185525956,0.014579159555786382,0.0027553115183893695,0.009947812322227965,0.038777175929361106,0.3212615319927779
0.019791743958843425,0.017036432440454056,0.004132967277583999,0.01847715861591349,0.05483849026736911,0.3007958002522817
0.0306893225495288,0.015499245628354422,0.0013776557591946847,0.019615517795750773,0.05951868615666195,0.2851382602458511
0.008131755336251885,0.01746865029309197,0.010580371497118535,0.01119128886250646,0.2123426331280454,0.14507494249462044
0.0026211322994731303,0.0026211322994731307,0.0052422645989463335,0.0026211322994731307,0.3492505750537955,0.01798063367218221
0.00391902253221533,0.01876654052583418,0.0025413667730206924,0.02844599441022981,0.21750513220053924,0.14129009918132132
